Receptor,subset,Score Type,s_score,Hits,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,hyd,don,acc,donhyd,catdon,hydaro,aniacc,donacc,features,all_same,hyd_prop,don_prop,acc_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop
GPR101_4MQS_active,moefrags,dE(class),-1.24545,24,14.715472,2.5152853,7.7349162,9.974453,3.4911582,6.4301839,3,2,0,0,1,0,0,1,7,0,0.428571429,0.285714286,0,0,0.142857143,0,0,0.142857143
GPR101_4MQS_active,moefrags,dE,-2.84,17,10.765926,0.10616248,5.6793089,9.974453,2.7835584,5.6628103,2,1,0,0,3,1,0,0,7,0,0.285714286,0.142857143,0,0,0.428571429,0.142857143,0,0
GPR101_4MQS_active,moefrags,dU(class),-0.8,268,13.834168,1.8916807,6.4708171,8.2668419,3.4911582,5.6493368,4,1,1,0,0,0,0,1,7,0,0.571428571,0.142857143,0.142857143,0,0,0,0,0.142857143
GPR101_4MQS_active,moefrags,dU,-3.28529,0,4.1997347,1.5166885,2.7187333,5.0301089,2.708854,3.9485171,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0
GPR101_4MQS_active,ef,dE(class),-1.22727,117,14.715472,1.1658353,7.594214,9.974453,3.4911582,7.0564656,3,2,0,0,0,1,0,1,7,0,0.428571429,0.285714286,0,0,0,0.142857143,0,0.142857143
GPR101_4MQS_active,ef,dE,-2.84,17,10.765926,0.10616248,5.6793089,9.974453,2.7835584,5.6628103,2,1,0,0,3,1,0,0,7,0,0.285714286,0.142857143,0,0,0.428571429,0.142857143,0,0
GPR101_4MQS_active,ef,dU(class),-1.40833,128,13.834168,1.8916807,6.5182805,8.2668419,3.4911582,5.3174791,3,1,1,0,0,0,0,2,7,0,0.428571429,0.142857143,0.142857143,0,0,0,0,0.285714286
GPR101_4MQS_active,ef,dU,-3.26571,0,7.0735278,1.8674102,3.6662662,5.0301089,2.708854,3.7473285,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0
GPR101_4MQS_active,gh,dE(class),-1.42632,24,14.715472,2.5152853,7.7349162,9.974453,3.4911582,6.4301839,3,2,0,0,1,0,0,1,7,0,0.428571429,0.285714286,0,0,0.142857143,0,0,0.142857143
GPR101_4MQS_active,gh,dE,-1.18571,252,10.532248,1.1631774,4.6710491,10.99416,3.7319098,8.271616,2,2,0,0,1,2,0,0,7,0,0.285714286,0.285714286,0,0,0.142857143,0.285714286,0,0
GPR101_4MQS_active,gh,dU(class),-0.96875,268,13.834168,1.8916807,6.470819,8.2668419,3.4911582,5.6493387,4,1,1,0,0,0,0,1,7,0,0.571428571,0.142857143,0.142857143,0,0,0,0,0.142857143
GPR101_4MQS_active,gh,dU,-3.1,0,4.9059772,0.6425209,2.6064169,4.4806638,3.2478137,3.7632444,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0
GPR101_4MQS_active,rec_ef,dE(class),-1.80588,123,14.123171,2.4315991,6.8987732,9.0984831,2.7835584,5.6552806,3,1,2,0,0,0,0,1,7,0,0.428571429,0.142857143,0.285714286,0,0,0,0,0.142857143
GPR101_4MQS_active,rec_ef,dE,-3.27,3,13.635204,0.76494676,6.6826425,9.9267797,2.7835584,5.0533671,2,0,0,0,5,0,0,0,7,0,0.285714286,0,0,0,0.714285714,0,0,0
GPR101_4MQS_active,rec_ef,dU(class),-1.99333,47,13.712512,2.4315991,6.500762,9.0984831,2.9437125,5.5294528,2,1,2,0,1,0,0,1,7,0,0.285714286,0.142857143,0.285714286,0,0.142857143,0,0,0.142857143
GPR101_4MQS_active,rec_ef,dU,-3.01563,2,10.27326,1.8746136,5.1049957,7.0392265,2.708854,4.5539489,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0
GPR101_4MQS_active,rec_gh,dE(class),-0.68125,18,13.237772,1.4521412,7.3858013,9.2367191,2.8948219,5.3793712,4,0,1,0,2,0,0,0,7,0,0.571428571,0,0.142857143,0,0.285714286,0,0,0
GPR101_4MQS_active,rec_gh,dE,-2.21538,15,11.134151,1.4362439,6.4419212,9.8584251,3.2478137,6.4580112,3,0,1,0,3,0,0,0,7,0,0.428571429,0,0.142857143,0,0.428571429,0,0,0
GPR101_4MQS_active,rec_gh,dU(class),-1.7,314,9.9384127,0.80442959,4.7106175,8.1358223,3.0587356,4.208385,4,0,2,0,1,0,0,0,7,0,0.571428571,0,0.285714286,0,0.142857143,0,0,0
GPR101_4MQS_active,rec_gh,dU,-3.1,0,4.9059772,0.6425209,2.6064169,4.4806638,3.2478137,3.7632444,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0
GPR101_5ZKC_inactive,moefrags,dE(class),-0.542857,189,10.990695,2.1910019,6.4052734,11.767721,4.8949237,8.1299782,2,1,2,0,0,1,1,0,7,0,0.285714286,0.142857143,0.285714286,0,0,0.142857143,0.142857143,0
GPR101_5ZKC_inactive,moefrags,dE,-2.37143,2,16.674625,0.72276485,8.7006426,11.552415,5.0238013,9.0486279,2,0,0,0,4,1,0,0,7,0,0.285714286,0,0,0,0.571428571,0.142857143,0,0
GPR101_5ZKC_inactive,moefrags,dU(class),-0.83913,151,8.580307,1.335282,5.6775393,11.297175,4.8192849,7.8978915,5,0,0,0,0,0,2,0,7,0,0.714285714,0,0,0,0,0,0.285714286,0
GPR101_5ZKC_inactive,moefrags,dU,-6.85541,0,8.6115551,0.14705928,4.9811139,9.3553753,4.8949237,7.9275384,0,0,0,0,6,0,1,0,7,0,0,0,0,0,0.857142857,0,0.142857143,0
GPR101_5ZKC_inactive,ef,dE(class),-0.55,21,17.77244,2.1910019,10.565806,11.767721,5.9490623,8.5780344,2,1,4,0,0,0,0,0,7,0,0.285714286,0.142857143,0.571428571,0,0,0,0,0
GPR101_5ZKC_inactive,ef,dE,-1.2,7,18.031454,2.4222581,10.807171,11.140818,5.0238013,7.9102907,1,1,3,0,1,1,0,0,7,0,0.142857143,0.142857143,0.428571429,0,0.142857143,0.142857143,0,0
GPR101_5ZKC_inactive,ef,dU(class),-0.1125,179,14.06023,1.2501072,6.7006521,12.241824,5.9490623,9.6704073,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0
GPR101_5ZKC_inactive,ef,dU,-5.54517,4,7.7295427,1.361971,4.1690431,9.3553753,6.3690643,8.1893539,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0
GPR101_5ZKC_inactive,gh,dE(class),-0.390909,214,13.082925,2.1910019,7.3333526,11.767721,5.4806981,8.2136602,2,1,3,0,0,1,0,0,7,0,0.285714286,0.142857143,0.428571429,0,0,0.142857143,0,0
GPR101_5ZKC_inactive,gh,dE,-2.29091,1,17.510366,1.1225119,7.5781426,12.05803,5.6220984,9.5768185,1,0,0,0,5,1,0,0,7,0,0.142857143,0,0,0,0.714285714,0.142857143,0,0
GPR101_5ZKC_inactive,gh,dU(class),-0.122222,284,8.580307,0.89843607,4.3094854,11.297175,5.9490623,9.3508072,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0
GPR101_5ZKC_inactive,gh,dU,-6.29107,0,7.5227308,0.29262048,3.1894658,9.5319624,6.7791533,8.3972988,0,2,0,0,3,0,0,2,7,0,0,0.285714286,0,0,0.428571429,0,0,0.285714286
GPR101_5ZKC_inactive,rec_ef,dE(class),-1.27857,11,18.19803,2.4222581,9.4349957,10.307111,5.0238013,7.5724354,2,1,2,0,1,0,0,1,7,0,0.285714286,0.142857143,0.285714286,0,0.142857143,0,0,0.142857143
GPR101_5ZKC_inactive,rec_ef,dE,-1.76667,16,13.341911,2.4222581,8.4473686,9.2103138,5.0152292,6.9916487,0,2,3,0,2,0,0,0,7,0,0,0.285714286,0.428571429,0,0.285714286,0,0,0
GPR101_5ZKC_inactive,rec_ef,dU(class),-0.125,38,8.9581718,0.63417506,3.4729939,11.973162,5.8417583,10.007337,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0
GPR101_5ZKC_inactive,rec_ef,dU,-5.04854,0,6.658361,1.3566151,3.1962974,9.3553753,6.3690643,8.0384846,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0
GPR101_5ZKC_inactive,rec_gh,dE(class),-0.166667,19,17.437889,1.2126063,9.8994665,11.386856,5.9523849,9.0287523,6,0,1,0,0,0,0,0,7,0,0.857142857,0,0.142857143,0,0,0,0,0
GPR101_5ZKC_inactive,rec_gh,dE,-2.10833,0,17.510366,1.1225119,8.9921379,12.05803,5.6220984,9.2833443,1,0,1,0,5,0,0,0,7,0,0.142857143,0,0.142857143,0,0.714285714,0,0,0
GPR101_5ZKC_inactive,rec_gh,dU(class),-0.1125,22,17.682201,1.2126063,8.9544373,12.138697,7.1230917,9.8977728,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0
GPR101_5ZKC_inactive,rec_gh,dU,-7.53047,0,16.472689,0.69863063,11.10898,11.552415,5.4689178,8.4891558,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0
